Coarse-Grained Algorithm:

Number of distinct colours used: 71

timetaken in microseconds= 179909μs
timetaken in milliseconds= 179.909milli seconds

Assigned colours:
vertex-802 colour-50
vertex-803 colour-21
vertex-804 colour-48
vertex-805 colour-8
vertex-806 colour-14
vertex-807 colour-48
vertex-808 colour-9
vertex-809 colour-6
vertex-810 colour-39
vertex-811 colour-27
vertex-812 colour-42
vertex-813 colour-38
vertex-814 colour-51
vertex-815 colour-20
vertex-816 colour-53
vertex-817 colour-44
vertex-818 colour-63
vertex-819 colour-47
vertex-820 colour-59
vertex-821 colour-51
vertex-822 colour-37
vertex-823 colour-58
vertex-824 colour-10
vertex-825 colour-8
vertex-826 colour-35
vertex-827 colour-48
vertex-828 colour-52
vertex-829 colour-52
vertex-830 colour-52
vertex-831 colour-21
vertex-832 colour-51
vertex-833 colour-17
vertex-834 colour-52
vertex-835 colour-43
vertex-836 colour-51
vertex-837 colour-42
vertex-838 colour-54
vertex-839 colour-49
vertex-840 colour-39
vertex-841 colour-49
vertex-842 colour-45
vertex-843 colour-39
vertex-844 colour-43
vertex-845 colour-49
vertex-846 colour-53
vertex-847 colour-48
vertex-848 colour-54
vertex-849 colour-45
vertex-850 colour-53
vertex-851 colour-50
vertex-852 colour-45
vertex-853 colour-30
vertex-854 colour-5
vertex-855 colour-63
vertex-856 colour-41
vertex-857 colour-6
vertex-858 colour-49
vertex-859 colour-46
vertex-860 colour-40
vertex-861 colour-46
vertex-862 colour-39
vertex-863 colour-19
vertex-864 colour-51
vertex-865 colour-54
vertex-866 colour-55
vertex-867 colour-60
vertex-868 colour-36
vertex-869 colour-49
vertex-870 colour-22
vertex-871 colour-47
vertex-872 colour-34
vertex-873 colour-53
vertex-874 colour-50
vertex-875 colour-53
vertex-876 colour-47
vertex-877 colour-63
vertex-878 colour-22
vertex-879 colour-26
vertex-880 colour-47
vertex-881 colour-62
vertex-882 colour-16
vertex-883 colour-61
vertex-884 colour-39
vertex-885 colour-21
vertex-886 colour-61
vertex-887 colour-55
vertex-888 colour-54
vertex-889 colour-28
vertex-890 colour-55
vertex-891 colour-7
vertex-892 colour-28
vertex-893 colour-56
vertex-894 colour-56
vertex-895 colour-60
vertex-896 colour-55
vertex-897 colour-64
vertex-898 colour-35
vertex-899 colour-54
vertex-900 colour-61
vertex-901 colour-53
vertex-902 colour-46
vertex-903 colour-39
vertex-904 colour-18
vertex-905 colour-52
vertex-906 colour-14
vertex-907 colour-39
vertex-908 colour-31
vertex-909 colour-57
vertex-910 colour-13
vertex-911 colour-27
vertex-912 colour-16
vertex-913 colour-51
